facilities,address,lat,lon,fac_type
私立中華商海,[207]新北市萬里區瑪鋉路15號,25.178032,121.684836,學校
私立光華高商進修學校,[220]新北市板橋區南雅南路二段1號,25.003128,121.454694,學校
市立泰山高中,[243]新北市泰山區辭修路7號,25.056701,121.429409,學校
市立板橋高中,[220]新北市板橋區文化路一段25號,25.012194,121.458414,學校
市立新店高中,[231]新北市新店區中央路93號,24.975455,121.532033,學校
市立中和高中,[235]新北市中和區連城路460號,24.993971,121.478344,學校
市立新莊高中,[242]新北市新莊區中平路135號,25.04865,121.443621,學校
市立新北高中,[241]新北市三重區三信路1號,25.086723,121.489918,學校
市立林口高中,[244]新北市林口區仁愛路二段173號,25.073273,121.380295,學校
市立瑞芳高工,[224]新北市瑞芳區瑞芳街60號,25.111122,121.8036,學校
市立三重商工,[241]新北市三重區中正北路163號,25.069917,121.481557,學校
市立新北高工,[236]新北市土城區學府路一段241號,24.982677,121.450198,學校
市立淡水商工,[251]新北市淡水區商工路307號,25.187416,121.454282,學校
市立海山高中,[220]新北市板橋區漢生東路215號,25.009524,121.471621,學校
市立三重高中,[241]新北市三重區集美街212號,25.054689,121.491438,學校
市立永平高中,[234]新北市永和區永平路205號,25.010504,121.508441,學校
市立樹林高中,[238]新北市樹林區中華路8號,24.983886,121.422063,學校
市立明德高中,[237]新北市三峽區中正路二段399號,24.906571,121.363724,學校
市立秀峰高中,[221]新北市汐止區忠孝東路201號,25.065627,121.660256,學校
市立金山高中,[208]新北市金山區美田里文化二路2號,25.22546,121.636338,學校
市立安康高中,[231]新北市新店區安興路25號,24.969719,121.513972,學校
市立雙溪高中,[227]新北市雙溪區梅竹蹊3號,25.035515,121.862729,學校
市立石碇高中,[223]新北市石碇區隆盛里八分寮45號,25.012741,121.642601,學校
市立丹鳳高中,[242]新北市新莊區龍安路72號,25.020742,121.416256,學校
市立清水高中,[236]新北市土城區明德路一段72號,24.982638,121.465182,學校
市立三民高中,[247]新北市蘆洲區三民路96號,25.086451,121.473033,學校
市立錦和高中,[235]新北市中和區錦和路163號,24.992528,121.491143,學校
市立光復高中,[220]新北市板橋區光環路一段7號,25.016259,121.482736,學校
市立竹圍高中,[251]新北市淡水區竹林路35號,25.14618,121.462839,學校
市立北大高級中學,[237]新北市三峽區大義路277號,24.948238,121.375757,學校
市立豐珠中學,[228]新北市貢寮區雞母嶺街6之6號,25.065979,121.901373,學校
市立鶯歌工商,[239]新北市鶯歌區中正三路154號,24.94009,121.334803,學校
市立樟樹國際實中,[221]新北市汐止區樟樹二路135號,25.065892,121.639461,學校
私立育達高中,[105]臺北市松山區美仁里寧安街12號,25.049817,121.553726,學校
市立西松高中,[105]臺北市松山區鵬程里健康路325巷7號,25.055529,121.566799,學校
市立中崙高中,[105]臺北市松山區吉祥里八德路四段101號,25.049601,121.561687,學校
私立協和祐德高中,[110]臺北市信義區大道里忠孝東路五段790巷27號,25.042244,121.583696,學校
市立松山高中,[110]臺北市信義區新仁里基隆路一段156號,25.043678,121.565293,學校
市立永春高中,[110]臺北市信義區松隆里松山路654號,25.032889,121.578414,學校
市立松山家商,[110]臺北市信義區松隆里松山路655號,25.035651,121.579477,學校
市立松山工農,[110]臺北市信義區廣居里忠孝東路五段236巷15號,25.039834,121.572611,學校
國立師大附中,[106]臺北市大安區和安里信義路三段143號,25.033945,121.540664,學校
私立延平中學,[106]臺北市大安區和安里建國南路1段275號,25.036461,121.539378,學校
私立金甌女中,[106]臺北市大安區光明里杭州南路2段1號,25.034908,121.524297,學校
私立復興實驗高中,[106]臺北市大安區仁愛里敦化南路一段262號,25.039557,121.54821,學校
私立東方工商,[106]臺北市大安區義安里信義路四段186巷8號,25.032272,121.551387,學校
私立喬治工商,[106]臺北市大安區法治里基隆路二段172號,25.026557,121.554772,學校
私立開平餐飲,[106]臺北市大安區龍陣里復興南路二段148巷24號,25.028918,121.542085,學校
市立和平高中,[106]臺北市大安區芳和里臥龍街100號,25.019492,121.549021,學校
市立芳和實中,[106]臺北市大安區芳和里臥龍街170號,25.018511,121.550138,學校
市立大安高工,[106]臺北市大安區龍圖里復興南路2段52號,25.031911,121.542966,學校
私立大同高中,[104]臺北市中山區集英里中山北路三段40號,25.066906,121.521205,學校
私立稻江護家,[104]臺北市中山區新庄里新生北路三段55號,25.065578,121.52861,學校
市立中山女中,[104]臺北市中山區力行里長安東路2段141號,25.048887,121.537342,學校
市立大同高中,[104]臺北市中山區中央里長春路167號,25.054986,121.535108,學校
市立大直高中,[104]臺北市中山區劍潭里北安路420號,25.079085,121.543362,學校
